Company,9/30/2008
ANSWERTHINK INC,-15.0
ANSYS INC,-14.6
ANTARES PHARMA INC,-2.7
ANTHEM INC,-11.4
ANWORTH MORTGAGE ASSET CORP,-9.5
AON CORP,-5.3
APACHE CORP,-8.8
APARTMENT INVESTMENT & MGMT CO,-1.2
APOGEE ENTERPRISES INC,-24.9
APOLLO EDUCATION GROUP INC,-6.9
APOLLO INVESTMENT CORP,-0.7
APPLE INC,-33.0
APPLIANCE RECYCLING CTRS AMR INC,-20.1
APPLIED INDUSTRIAL TECHS INC,-7.5
APPLIED MATERIALS INC,-15.6
APPLIED MICRO CIRCUITS CORP,-24.9
APRICUS BIOSCIENCES INC,-36.7
APTARGROUP INC,-3.2
AQUA AMERICA INC,-2.8
ARALEZ PHARMACEUTICALS INC,-8.8
ARBOR REALTY TRUST INC,13.5
ARCA BIOPHARMA INC,-11.1
ARCBEST CORP,-2.7
ARCELORMITTAL,-36.7
ARCH CAPITAL GROUP LTD NEW,4.7
ARCHER DANIELS MIDLAND CO,-13.9
ARCHROCK PARTNERS L P,-31.4
ARCTIC CAT INC,-11.4
ARENA PHARMACEUTICALS INC,-17.6
ARES CAPITAL CORP,-10.3
ARGO GROUP INTL HLDGS LTD,-2.0
ARIAD PHARMACEUTICALS INC,-20.6
ARK RESTAURANTS CORP,-30.4
ARLINGTON ASSET INVESTMENT CORP,9.3
ARMSTRONG WORLD INDS INC NEW,-22.5
AROTECH CORP,-24.7
ARQULE INC,-8.5
ARRAY BIOPHARMA INC,-6.0
ARRHYTHMIA RESEARCH TECH INC,-34.0
ARRIS GROUP INC,-18.3
ARROW ELECTRONICS INC,-21.0
ARROW FINANCIAL CORP,20.2
ARROWHEAD PHARMACEUTICALS INC,-40.6
ARTESIAN RESOURCES CORP,-4.0
ARTS WAY MANUFACTURING INC,-39.8
ARVINMERITOR INC,-13.1
ASBURY AUTOMOTIVE GROUP INC,-5.1
ASCENA RETAIL GROUP INC,-6.0
ASHFORD HOSPITALITY TRUST INC,-6.2
ASHLAND GLOBAL HOLDINGS INC,-28.6
ASIA PACIFIC FUND INC,-19.8
ASIA TIGERS FUND INC,-16.8
ASPEN INSURANCE HOLDINGS LTD,1.5
ASSOCIATED BANC CORP,14.0
ASSURANT INC,-5.9
ASSURED GUARANTY LTD,0.0
ASTA FUNDING INC,-14.9
ASTEC INDUSTRIES INC,-10.4
ASTORIA FINANCIAL CORP,-5.1
ASTRAZENECA PLC,-9.9
ASTRO MEDICAL INC NEW,0.7
ASTRONICS CORP,-6.0
ASTROTECH CORP,-21.7
ASURE SOFTWARE INC,-19.4
ATLANTIC AMERICAN CORP,-23.7
ATLANTIC COAST FED CORP,-2.0
ATLANTICUS HOLDINGS CORP,-24.5
ATLAS AIR WORLDWIDE HOLDINGS INC,-30.2
ATMOS ENERGY CORP,-3.3
ATRICURE INC,-3.3
ATRION CORP,-10.4
ATWOOD OCEANICS INC,-10.5
AUBURN NATIONAL BANCORP,0.8
AUDIOCODES LTD,-39.3
AUDIOVOX CORP,-4.0
AUTOBYTEL INC,-8.5
AUTODESK INC,-5.6
AUTOLIV INC,-12.1
AUTOMATIC DATA PROCESSING INC,-3.0
AUTONATION INC DEL,-1.0
AUTOZONE INC,-10.1
AVALON HOLDINGS CORP,-24.4
AVALONBAY COMMUNITIES INC,-1.6
AVANT IMMUNOTHERAPEUTICS INC,-15.9
AVERY DENNISON CORP,-7.8
AVIRAGEN THERAPEUTICS INC,-19.1
AVIS BUDGET GROUP INC,-24.7
AVISTA CORP,-2.6
AVNET INC,-16.1
AVON PRODUCTS INC,-2.9
AWARE INC,-1.9
AXCELIS TECHNOLOGIES INC,-64.1
AXIS CAPITAL HOLDINGS LTD,-4.6
B B & T CORP,26.0
B C B BANCORP INC,-5.4
B C E INC,-8.2
B E AEROSPACE INC,-33.9
B G C PARTNERS INC,-32.9
B H P BILLITON LTD,-25.1
B H P BILLITON PLC,-25.3
B N C BANCORP,-8.3
B O K FINANCIAL CORP,11.1
B O S BETTER ONLINE SOLNS LTD,-30.9
B OF I HOLDING INC,3.3
B P PLC,-12.9
B P PRUDHOE BAY ROYALTY TRUST,0.7
B R F BRASIL FOODS S A,-22.3
B R T REALTY TRUST,-6.1
B T GROUP PLC,-7.3
BABSON CAP PARTICIPATION INVS,-12.5
BABSON CAPITAL CORPORATE INVS,-11.0
BADGER METER INC,2.0
BAIDU COM INC,-20.9
BAKER HUGHES INC,-24.3
BALCHEM CORP,-2.3
BALDWIN & LYONS INC,12.4
BALL CORP,-14.0
BALLANTYNE OMAHA INC,-54.7
BALLARD POWER SYSTEMS INC,-23.1
BANC OF CALIFORNIA INC,5.6
BANCFIRST CORP,0.9
BANCO BILBAO VIZCAYA ARGENTARIA,-3.9
BANCO DE CHILE,-8.4
BANCO LATINOAMERICANO DE CO EX S,-20.3
BANCO MACRO S A,-7.7
BANCO SANTANDER CENTRAL HISP SA,-11.5
BANCO SANTANDER CHILE NEW,-2.8
BANCORP INC,8.7
BANCORPSOUTH INC,23.2
BANCROFT FUND LTD,-19.5
BANK MONTREAL QUE,-1.3
BANK MUTUAL CORP NEW,-5.8
BANK NEW YORK INC,-5.9
BANK OF AMERICA CORP,14.5
BANK OF COMMERCE HOLDINGS,-0.9
BANK OF HAWAII CORP,1.1
BANK OF MARIN,2.2
BANK OF NOVA SCOTIA,0.1
BANK OF THE OZARKS INC,20.7
BANK SOUTH CAROLINA CORP,-9.3
BANKFINACIAL CORP,-1.6
BANNER CORP,13.6
BANRO CORP,-25.7
BAR HARBOR BANKSHARES,-7.5
BARCLAYS PLC,-3.9
BARD C R INC,1.5
BARNES & NOBLE INC,6.5
BARNES GROUP INC,-16.2
