Company,9/30/2008
FOSSIL GROUP INC,-5.6
FOSTER L B CO,-21.1
FRANCE TELECOM,-1.8
FRANKLIN COVEY CO,-19.0
FRANKLIN ELECTRIC INC,2.9
FRANKLIN LIMITED DURATION INC TR,-21.5
FRANKLIN RESOURCES INC,-15.7
FRANKLIN STREET PROPERTIES CORP,2.1
FRANKLIN UNIVERSAL TRUST,-15.0
FREDS INC,1.6
FREEPORT MCMORAN COPPER & GOLD,-36.4
FREIGHTCAR AMERICA INC,-20.8
FREQUENCY ELECTRONICS INC,-7.4
FRESENIUS MED CARE AG & CO KGAA,-3.0
FRESH DEL MONTE PRODUCE INC,-4.4
FRIEDMAN INDUSTRIES INC,-29.3
FRONTLINE LTD,-15.5
FUEL TECH INC,-1.4
FUELCELL ENERGY INC,-13.1
FULL HOUSE RESORTS INC,-9.4
FULLER H B CO,-19.9
FULTON FINANCIAL CORP PA,3.8
FUWEI FILMS HOLDINGS CO LTD,-32.0
G & K SERVICES INC,-4.0
G A T X CORP,-9.1
G E E GROUP INC,-25.0
G III APPAREL GROUP INC,1.1
G P STRATEGIES CORP,-16.8
G S E SYSTEMS INC,-13.0
G T X INC,7.4
GABELLI CONV & INC SECS FUND INC,-10.0
GABELLI DIVIDEND & INCOME TRUST,-20.3
GABELLI EQUITY TRUST INC,-12.9
GABELLI GLBL GLD NAT RES & INC T,-20.9
GABELLI GLOBAL MULTIMEDIA TR INC,-22.6
GABELLI GLOBAL UTIL & INCOME TR,-13.4
GABELLI UTILITY TRUST,-2.2
GAIA INC,-16.7
GALLAGHER ARTHUR J & CO,-1.9
GAMCO INVESTORS INC,25.2
GAMESTOP CORP NEW,-22.0
GAMING PARTNERS INTL CORP,4.0
GANNETT CO INC,-2.7
GAP INC,-8.6
GARMIN LTD,-2.4
GARTNER INC,-14.1
GASTAR EXPLORATION INC,-26.6
GAYLORD ENTERTAINMENT CO NEW,-15.2
GENERAL AMERICAN INVESTORS INC,-16.0
GENERAL CABLE CORP DEL NEW,-27.6
GENERAL COMMUNICATION INC,-8.7
GENERAL DYNAMICS CORP,-20.2
GENERAL ELECTRIC CO,-8.1
GENERAL FINANCE CORP,-10.4
GENERAL MILLS INC,3.8
GENERAL MOLY INC,-36.2
GENESCO INC,-8.5
GENESEE & WYOMING INC,-12.8
GENESIS ENERGY L P,-21.5
GENOMIC HEALTH INC,1.3
GENTEX CORP,-10.2
GENUINE PARTS CO,-4.3
GENVEC INC,-11.7
GENWORTH FINANCIAL INC,-46.4
GEO GROUP INC,-8.7
GEOSPACE TECHNOLOGIES CORP,-19.9
GERMAN AMERICAN BANCORP INC,-11.1
GERON CORP,-13.9
GETTY REALTY CORP NEW,8.2
GIBRALTAR INDUSTRIES INC,-12.8
GIGA TRONICS INC,-26.7
GIGAMEDIA LIMITED,-36.8
GILAT SATELLITE NETWORKS LTD,-23.0
GILDAN ACTIVEWEAR INC,-2.5
GILEAD SCIENCES INC,-13.4
GLACIER BANCORP INC NEW,16.2
GLADSTONE CAPITAL CORP,-1.8
GLADSTONE COMMERCIAL CORP,0.2
GLADSTONE INVESTMENT CORP,-4.3
GLATFELTER P H CO,-7.7
GLAXOSMITHKLINE PLC,-7.5
GLEN BURNIE BANCORP,-16.0
GLOBAL INDEMNITY LTD,-5.6
GLOBAL PARTNERS LP,-23.7
GLOBAL PAYMENTS INC,-6.9
GLOBAL SHIP LEASE INC,-7.3
GLOBAL SOURCES LTD BERMUDA,-5.6
GOLAR L N G LTD,-17.2
GOLD FIELDS LTD NEW,5.4
GOLDCORP INC NEW,-6.7
GOLDEN ENTERTAINMENT INC,0.5
GOLDEN OCEAN GROUP LTD,-8.7
GOLDEN STAR RESOURCES LTD,-0.7
GOLDFIELD CORP,-34.4
GOLDMAN SACHS GROUP INC,-21.9
GOLF TRUST OF AMERICA INC,-10.8
GOOD TIMES RESTAURANTS INC,-12.6
GOODYEAR TIRE & RUBBER CO,-21.9
GORMAN RUPP CO,-6.2
GRACE W R & CO DEL NEW,-42.5
GRACO INC,-6.7
GRAHAM CORP,-42.0
GRAHAM HOLDINGS CO,-6.7
GRAINGER W W INC,-3.4
GRANITE CONSTRUCTION INC,-2.0
GRANITE REAL ESTATE INC,-14.9
GRAPHIC PACKAGING CORP DEL,-12.3
GRAVITY CO LTD,-23.8
GRAY TELEVISION INC,-0.6
GRAY TELEVISION INC,-28.9
GREAT LAKES DREDGE & DOCK CORP,-15.5
GREAT PLAINS ENERGY INC,-5.2
GREAT SOUTHERN BANCORP INC,24.7
GREATBATCH INC,0.5
GREEN PLAINS INC,-23.9
GREENBRIER COMPANIES INC,-2.7
GREENE COUNTY BANCORP INC,-6.0
GREENHILL & CO INC,11.6
GREENVILLE FIRST BANCSHARES INC,1.2
GREIF INC,-4.5
GREIF INC,-13.0
GRIFFIN INDUSTRIAL REALTY INC,7.5
GRIFFON CORP,-15.8
GROUP 1 AUTOMOTIVE INC,2.7
GROUPE C G I INC,-17.4
GRUPO AEROPORTUARIO DEL CENTRO N,-20.4
GRUPO AEROPORTUARIO DEL PAC SA,-10.3
GRUPO AEROPORTUARIO DEL SUR S A,4.5
GRUPO FINANCIERO GALICIA S A,-2.7
GRUPO SIMEC S A B DE C V,-33.2
GRUPO TELEVISA SA,-5.7
GUANGSHEN RAILWAY LTD,8.0
GUARANTY FEDERAL BANCSHARES INC,-19.3
GUESS INC,-6.4
GUGGENHEIM ENHANCED EQTY INC FD,-17.1
GUIDANCE SOFTWARE INC,-26.4
GULF ISLAND FABRICATION INC,-20.0
GULFMARK OFFSHORE INC,-10.4
GULFPORT ENERGY CORP,-24.7
H & E EQUIPMENT SERVICES INC,-31.5
H & Q HEALTHCARE INVESTORS,-12.1
H & Q LIFE SCIENCES INVESTORS,-10.8
H C P INC,10.8
H D F C BANK LTD,-6.1
H M G COURTLAND PROPERTIES LTD,-30.1
H M N FINANCIAL INC,-10.0
H M S HOLDINGS CORP,-3.3
H N I CORP,9.5
H P INC,-1.3
H R G GROUP INC,-1.7
H S B C HOLDINGS PLC,2.7
H S W INTERNATIONAL INC,-11.9
HAEMONETICS CORP MASS,-1.6
HAIN CELESTIAL GROUP INC,5.9
HALCON RESOURCES CORP,-36.8
HALLIBURTON COMPANY,-26.3
HALLMARK FINANCIAL SERVICES INC,-1.5
HALOZYME THERAPEUTICS INC,-5.9
HAMPTON ROADS BANKSHARES INC,-12.6
HANCOCK HOLDING CO,4.5
HANCOCK JOHN BK & THRIFT OPPT FD,2.4
HANCOCK JOHN INCOME SECS TR,-13.1
HANCOCK JOHN INVS TR,-11.2
HANCOCK JOHN PATR PR DIV FD II,-19.5
HANCOCK JOHN PFD INCOME FD,-33.1
HANCOCK JOHN PFD INCOME FD III,-39.7
HANESBRANDS INC,-8.8
HANMI FINANCIAL CORP,-1.2
HANOVER CAPITAL MTG HLDGS INC,23.1
HANOVER INSURANCE GROUP INC,-3.6
HANSEN NATURAL CORP,10.1
HANWHA Q CELLS CO LTD,-33.4
HARDINGE INC,-21.3
HARLEY DAVIDSON INC,-5.4
HARMAN INTL INDS INC NEW,0.1
HARMONIC INC,-4.0
HARMONY GOLD MINING CO LTD,11.1
HARRIS & HARRIS GROUP INC,-12.8
HARRIS CORP,-11.4
HARSCO CORP,-29.4
HARTE HANKS INC,-15.4
HARTFORD FINANCIAL SVCS GRP INC,-35.0
HARVARD BIOSCIENCE INC,1.5
HARVEST NATURAL RESOURCES INC,-8.7
HASBRO INC,-7.2
HAVERTY FURNITURE COS INC,3.6
HAWAIIAN ELECTRIC INDUSTRIES INC,10.1
HAWAIIAN HOLDINGS INC,2.8
HAWKINS INC,12.4
HEADWATERS INC,-13.3
HEALTH CARE REIT INC,2.6
HEALTHCARE ACQUISITION CORP,-17.2
HEALTHCARE REALTY TRUST INC,1.7
HEALTHCARE SERVICES GROUP INC,-6.1
HEALTHSOUTH CORP,2.4
HEALTHSTREAM INC,-14.3
HEALTHWAYS INC,-15.1
HEARTLAND EXPRESS INC,-5.9
HEARTLAND FINANCIAL USA INC,16.4
HECLA MINING CO,-33.3
HEICO CORP NEW,-7.9
HEICO CORP NEW,-2.6
HEIDRICK & STRUGGLES INTL INC,-0.7
HELEN OF TROY LTD,-5.3
HELIOS & MATHESON ANALYTICS INC,20.5
HELIX ENERGY SOLUTIONS GROUP INC,-21.1
HELMERICH & PAYNE INC,-24.4
HEMISPHERX BIOPHARMA INC,-46.2
HENRY JACK & ASSOC INC,1.9
HERBALIFE LTD,-16.1
HERC HOLDINGS INC,-20.4
HERCULES CAPITAL INC,-6.8
HERITAGE COMMERCE CORP,26.6
HERITAGE FINANCIAL CORP WA,-11.7
HERITAGE OAKS BANCORP,-6.7
HERSHA HOSPITALITY TRUST,5.2
HERSHEY CO,9.6
HERZFELD CARIBBEAN BASIN FD INC,-23.9
HESKA CORP,-32.3
HESS CORP,-21.5
HEXCEL CORP NEW,-34.1
HIBBETT SPORTING GOODS INC,-16.2
HIGHLAND CREDIT STRATEGIES FUND,-19.6
HIGHWAY HOLDINGS LTD,-17.9
HIGHWOODS PROPERTIES INC,-2.0
HILL INTERNATIONAL INC,-28.1
HILL ROM HOLDINGS INC,1.6
HIMAX TECHNOLOGIES INC,-17.4
HINGHAM INSTITUTION FOR SVGS MA,-10.0
HOLLY CORP,-9.2
HOLLY ENERGY PARTNERS L P,-10.9
HOLOGIC INC,-8.9
HOME BANCSHARES INC,7.7
HOME DEPOT INC,-3.7
HONDA MOTOR LTD,-6.8
HONEYWELL INTERNATIONAL INC,-17.2
HOOKER FURNITURE CORP,5.4
HOOPER HOLMES INC,-15.0
HOPFED BANCORP INC,-3.6
HORACE MANN EDUCATORS CORP NEW,-12.9
HORIZON BANCORP IND,0.9
HORMEL FOODS CORP,1.7
HORNBECK OFFSHORE SVCS INC NEW,-12.3
HOSPITALITY PROPERTIES TRUST,-9.5
HOST HOTELS & RESORTS INC,-5.7
HOUSTON AMERICAN ENERGY CORP,-25.8
HOUSTON WIRE & CABLE CO,1.8
HOVNANIAN ENTERPRISES INC,11.9
HUANENG POWER INTERNATIONAL INC,-11.3
HUB GROUP INC,-5.7
HUBBELL INC,-18.6
HUDSON GLOBAL INC,-24.5
HUDSON TECHNOLOGIES INC,-35.9
HUGOTON ROYALTY TRUST,-12.1
HUMANA INC,-11.2
HUNT J B TRANSPORT SERVICES INC,-8.4
HUNTINGTON BANCSHARES INC,11.0
HUNTSMAN CORP,-2.7
HURCO COMPANY,-8.8
HURON CONSULTING GROUP INC,-11.6
HYDROGENICS CORP,-37.5
I C F INTERNATIONAL INC NEW,6.7
I C I C I BANK LTD,-24.2
I C O GLOBAL COMMS HLDGS LTD DE,-62.8
I C U MEDICAL INC,0.1
I D E X X LABORATORIES INC,-2.7
I D SYSTEMS INC,-1.6
I D T CORP,-52.3
I E S HOLDINGS INC,-18.0
I G I INC,-28.6
I N G GLOBAL ADV & PREM OPP FUND,-18.0
I N G GLOBAL EQU DIV & PREM OPP,-18.1
I N G GROEP N V,-31.3
I N G PRIME RATE TRUST,-19.0
I N G RISK MANAGED NATUR RES FD,-12.7
I P G PHOTONICS CORP,-4.2
I R S A INVERSIONES Y REP S A,-20.4
I T T CORP,-12.8
I X Y S CORP DEL,-28.6
IAC INTERACTIVECORP,4.2
IAMGOLD CORP,-13.8
IBERIABANK CORP,-1.9
ICAD INC,-25.5
ICON PLC,-6.1
ICONIX BRAND GROUP INC,1.2
IDACORP INC,-2.4
IDENTIVE GROUP INC,-6.0
IDERA PHARMACEUTICALS INC,-3.8
IDEX CORP,-16.3
II VI INC,-12.0
IKONICS CORP,-10.5
ILLINOIS TOOL WORKS INC,-9.8
ILLUMINA INC,-5.9
IMAGE SENSING SYSTEMS INC,-15.8
IMATION CORP,7.1
IMAX CORP,-18.1
IMMERSION CORP,-12.5
IMMUCELL CORP,0.0
IMMUNOGEN INC,-8.7
IMMUNOMEDICS INC,-17.6
IMPERIAL OIL LTD,-16.7
INCOME OPPORTUNITY RLTY INVS INC,-16.7
INCREDIMAIL LTD,-8.2
INCYTE CORP,-25.2
INDEPENDENCE HOLDING CO NEW,-12.1
INDEPENDENT BANK CORP MA,13.3
INDEPENDENT BANK CORP MICH,-16.5
INDIA FUND INC,-12.3
INDUSTRIAL SERVICES OF AM INC,-40.8
INDUSTRIAS BACHOCO S A B DE C V,-18.2
INFINITY PHARMACEUTICALS INC,5.2
INFINITY PROPERTY & CASUALTY COR,-11.4
INFOSONICS CORP,-15.0
INFOSYS LTD,-19.3
INGERSOLL RAND CO LTD,-15.6
INGLES MARKETS INC,-7.6
INNERWORKINGS INC,-6.5
INNODATA INC,-9.4
INNOPHOS HOLDINGS INC,-35.0
INNOSPEC INC,-23.1
INNOVATIVE SOLUTIONS & SUPRT INC,7.7
INNSUITES HOSPITALITY TRUST,-10.2
INOVIO BIOMEDICAL CORP,-35.4
INPUT OUTPUT INC,-12.0
INSEEGO CORP,-2.7
INSIGHT ENTERPRISES INC,-19.4
INSIGNIA SYSTEMS INC,-7.5
INSMED INC,6.2
INSTEEL INDUSTRIES INC,-17.4
INSURED MUNICIPAL INCOME FUND,-15.8
INSWEB CORP,-12.2
INTEGRA LIFESCIENCES HLDNGS CORP,-9.2
INTEGRATED DEVICE TECHNOLOGY,-26.5
INTEL CORP,-18.1
INTELLI CHECK INC,-24.4
INTELLIGENT SYSTEMS CORP NEW,-34.7
INTERCONTINENTAL HOTELS GRP PLC,-8.5
INTERCONTINENTALEXCHANGE GRP INC,-8.3
INTERDIGITAL COMMUNICATIONS CORP,-9.4
INTERFACE INC,-13.7
INTERGROUP CORP,0.3
INTERMEDIATE PARFUMS INC,-4.2
INTERNAP CORP,12.6
INTERNATIONAL ASSETS HLDG CORP,-15.1
INTERNATIONAL BANCSHARES CORP,5.8
INTERNATIONAL BUSINESS MACHS COR,-3.9
INTERNATIONAL FLAVORS & FRAG INC,-1.2
INTERNATIONAL PAPER CO,-3.2
INTERNATIONAL SPEEDWAY CORP,-1.9
INTERNET GOLD GOLDEN LINES LTD,-16.7
INTERNET INITIATIVE JAPAN INC,-9.0
INTEROIL CORP,-11.4
INTERPACE DIAGNOSTICS GROUP INC,6.6
INTERPUBLIC GROUP COS INC,-17.6
INTERSECTIONS INC,-24.2
INTERSIL CORP,-29.2
INTEST CORP,-22.2
INTEVAC INC,4.5
INTRICON CORP,-32.4
INTUIT INC,5.1
INTUITIVE SURGICAL INC,-18.4
INUVO INC,-61.5
INVACARE CORP,-5.1
INVENTURE FOODS INC,-19.8
INVESCO ADVANTAGE MUN INC TR II,-14.2
INVESCO BOND FUND,-10.2
INVESCO CALIFORNIA VL MUNI IN TR,-18.2
INVESCO HIGH INCOME TRUST II,-23.6
INVESCO INSURED MUNI INCOME TR,-14.1
INVESCO MUNICIPAL INCOME OPP TR,-16.3
INVESCO MUNICIPAL OPRTY TRUST,-18.9
INVESCO MUNICIPAL TRUST,-21.4
INVESCO PA VALUE MUNICIPAL IN TR,-8.7
INVESCO QUALITY MUNI INCOME TR,-18.5
INVESCO SENIOR INCOME TRUST,-23.9
INVESCO TRUST INVEST GR NY MUN,-21.7
INVESCO TRUST INVESTMENT GR MUNS,-14.4
INVESTMENT TECHNOLOGY GP INC NEW,-4.9
INVESTORS BANCORP INC,2.9
INVESTORS REAL ESTATE TRUST,8.3
INVESTORS TITLE CO,0.8
IONIS PHARMACEUTICALS INC,-4.5
IPASS INC,-4.8
IRIDEX CORP,-15.6
IROBOT CORP,5.9
IRON MOUNTAIN INC,-15.6
ISHARES GSCI COMMODITY INDEX TR,-10.4
ISHARES INC,-13.8
ISHARES INC,-26.0
ISHARES INC,-21.1
ISHARES INC,-13.3
ISHARES INC,-12.3
ISHARES INC,-12.8
ISHARES INC,-16.7
ISHARES INC,-13.3
ISHARES INC,-8.2
ISHARES INC,-15.9
ISHARES INC,-7.1
ISHARES INC,-13.4
ISHARES INC,-16.9
ISHARES INC,-10.6
ISHARES INC,-7.0
ISHARES INC,-6.6
ISHARES INC,-8.2
ISHARES INC,-17.1
ISHARES INC,-23.3
ISHARES INC,-12.7
ISHARES INC,-10.9
ISHARES TRUST,-8.9
ISHARES TRUST,-9.8
ISHARES TRUST,-7.4
ISHARES TRUST,-10.8
ISHARES TRUST,-7.4
ISHARES TRUST,-10.9
ISHARES TRUST,-9.3
ISHARES TRUST,-7.7
ISHARES TRUST,-8.1
ISHARES TRUST,-14.0
ISHARES TRUST,-13.4
ISHARES TRUST,-3.2
ISHARES TRUST,-6.6
ISHARES TRUST,-8.6
ISHARES TRUST,-13.1
ISHARES TRUST,-1.1
ISHARES TRUST,-13.2
ISHARES TRUST,-6.5
ISHARES TRUST,-0.8
ISHARES TRUST,-12.7
ISHARES TRUST,-2.5
ISHARES TRUST,-23.0
ISHARES TRUST,-9.7
ISHARES TRUST,-13.3
ISHARES TRUST,-3.2
ISHARES TRUST,-11.3
ISHARES TRUST,-7.2
ISHARES TRUST,-11.6
ISHARES TRUST,-8.0
ISHARES TRUST,-12.4
ISHARES TRUST,-4.8
ISHARES TRUST,-7.3
ISHARES TRUST,-7.8
ISHARES TRUST,-5.3
ISHARES TRUST,-1.5
ISHARES TRUST,-14.2
ISHARES TRUST,-8.9
ISHARES TRUST,-15.3
ISHARES TRUST,-13.0
ISHARES TRUST,-10.7
ISHARES TRUST,-17.4
ISHARES TRUST,-21.0
ISHARES TRUST,-11.4
ISHARES TRUST,-16.1
ISHARES TRUST,-6.6
ISHARES TRUST,-17.4
ISHARES TRUST,-9.3
ISHARES TRUST,-14.4
ISHARES TRUST,-6.9
ISHARES TRUST,-6.6
ISHARES TRUST,-13.3
ISHARES TRUST,-10.7
ISHARES TRUST,1.5
ISHARES TRUST,-0.1
ISHARES TRUST,0.8
ISHARES TRUST,-14.7
ISHARES TRUST,-1.8
ISHARES TRUST,-9.7
ISHARES TRUST,1.0
ISHARES TRUST,-4.0
ISHARES TRUST,-9.2
ISHARES TRUST,-12.4
ISHARES TRUST,-8.4
ISHARES TRUST,-5.5
ISHARES TRUST,-12.7
ISHARES TRUST,-16.1
ISHARES TRUST,-7.4
ISHARES TRUST,-10.7
ISHARES TRUST,-11.8
ISHARES TRUST,-3.2
ISHARES TRUST,-18.1
ISHARES TRUST,4.3
ISHARES TRUST,-7.4
ISHARES TRUST,-6.9
ISHARES TRUST,-11.6
ISHARES TRUST,-12.8
ISHARES TRUST,-11.4
ISHARES TRUST,9.0
ISHARES TRUST,-13.3
ISHARES TRUST,4.3
ISHARES TRUST,-13.7
ISHARES TRUST,-14.8
ISHARES TRUST,-7.7
ISHARES TRUST,-9.2
ISHARES TRUST,-5.0
ISHARES TRUST,-21.8
ISHARES TRUST,-17.2
ISHARES TRUST,-22.1
ISHARES TRUST,-10.3
ISHARES TRUST,-15.6
ISHARES TRUST,-2.1
ISHARES TRUST,-9.9
ISHARES TRUST,-2.9
ISLE OF CAPRI CASINOS INC,26.0
ISRAMCO INC,5.9
ISTAR FINANCIAL INC,-53.5
ITERIS INC,-11.2
ITRON INC,-14.5
ITURAN LOCATION & CONTROL LTD,-9.3
IVANHOE MINES LTD,-45.5
IXIA,-15.2
J & J SNACK FOODS CORP,0.9
J D S UNIPHASE CORP,-16.6
J F CHINA REGION FUND INC,-15.7
J2 GLOBAL COMM INC,-5.4
JABIL CIRCUIT INC,-43.4
JACK IN THE BOX INC,-11.1
JACKSONVILLE BANCORP INC MD,-0.4
JACOBS ENGINEERING GROUP INC,-26.4
JAKKS PACIFIC INC,-0.2
JAMBA INC,-32.8
JAMES HARDIE INDS N V,5.4
JANUS CAP GROUP INC,-10.0
JAPAN SMALLER CAP FUND INC,-11.6
JETBLUE AIRWAYS CORP,-18.5
JEWETT CAMERON TRADING LTD,-5.1
JOHN HANCOCK PREFERRED INC FD II,-33.4
JOHN HANCOCK TAX ADV DIV INC FD,-23.3
JOHNSON & JOHNSON,-1.6
JOHNSON CONTROLS INTL PLC,-17.9
JOHNSON OUTDOORS INC,-21.2
JONES LANG LASALLE INC,-12.7
JOY GLOBAL INC,-36.2
JPMORGAN CHASE & CO,21.3
JUNIPER NETWORKS INC,-18.0
K B FINANCIAL GROUP INC,-16.6
K B HOME,-5.4
K B R INC,-37.6
K C A P FINANCIAL INC,-21.8
K H D HUMBOLDT WEDAG INTL LTD,-27.5
K L A TENCOR CORP,-14.6
K M G CHEMICALS INC,-34.9
K T CORP,-17.5
K V H INDUSTRIES INC,1.7
KADANT INC,-2.9
KAISER ALUMINUM CORP,-20.6
KAMAN CORP,-5.5
KANSAS CITY SOUTHERN,-13.7
KAYNE ANDERSON ENERGY DEVELOP CO,-25.9
KAYNE ANDERSON ENERGY TOT RET FD,-21.1
KAYNE ANDERSON M L P INVEST CO,-14.9
KEARNY FINANCIAL CORP,-11.9
KELLOGG CO,3.0
KELLY SERVICES INC,-1.5
KEMPER CORP DE,-2.3
KENNAMETAL INC,-23.0
KENTUCKY FIRST FEDERAL BANCORP,1.9
KERYX BIOPHARMACEUTICALS INC,-34.0
KEWAUNEE SCIENTIFIC CORP,-20.7
KEY TRONICS CORP,-32.1
KEYCORP NEW,-0.6
KFORCE INC,-4.4
KILROY REALTY CORP,-3.4
KIMBALL INTERNATIONAL INC,4.1
KIMBERLY CLARK CORP,6.1
KIMCO REALTY CORP,-0.5
KINDRED HEALTHCARE INC,-10.9
KINGSWAY FINANCIAL SERVICES INC,-19.7
KINROSS GOLD CORP,-1.8
KIRBY CORP,-17.1
KIRKLANDS INC,-5.0
KITE REALTY GROUP TRUST,-9.8
KNIGHT TRANSPORTATION INC,-4.9
KNOLL INC,-7.5
KNOT INC,-8.3
KOHLS CORP,-6.3
KONA GRILL INC,-14.8
KONGZHONG CORP,-9.7
KONINKLIJKE PHILIPS ELEC N V,-15.9
KOPIN CORP,4.7
KOPPERS HOLDINGS INC,-18.3
KOREA ELECTRIC POWER CO,-17.7
KOREA EQUITY FUND INC,-9.6
KOREA FUND INC,-12.0
KORN FERRY INTERNATIONAL,0.2
KRAFT FOODS INC,4.9
KRATOS DEFENSE & SECUR SOLS INC,-2.5
KROGER COMPANY,-0.5
KRONOS WORLDWIDE INC,-17.8
KULICKE & SOFFA INDS INC,-12.3
KYOCERA CORP,-7.9
L 3 COMMUNICATIONS HLDGS INC,-5.4
L BRANDS INC,-16.7
L G DISPLAY CO LTD,3.1
L G L GROUP INC,-20.6
L H C GROUP,-2.2
L K Q CORP,-9.4
L M I AEROSPACE INC,-14.8
L M P CAPITAL & INCOME FUND INC,-20.1
L M P CORPORATE LOAN FUND INC,-18.2
L S B INDUSTRIES INC,-42.6
L S I INDUSTRIES INC,-4.2
L T C PROPERTIES INC,9.6
L T X CORP,-2.8
LA Z BOY INC,23.1
LABOR READY INC,-2.6
LABORATORY CORP AMERICA HLDGS,-5.0
LACLEDE GROUP INC,8.8
LADENBURG THALMANN FIN SVCS INC,-13.0
LAKE SUNAPEE BANK GROUP,-9.8
LAKELAND BANCORP INC,-0.9
LAKELAND FINANCIAL CORP,7.8
LAKELAND INDUSTRIES INC,0.9
LAM RESH CORP,-14.3
LAMAR ADVERTISING CO,-16.9
LAN AIRLINES S A,-2.8
LANCASTER COLONY CORP,9.1
LANCE INC,10.7
LANDAUER INC,12.2
LANDEC CORP,-12.8
LANDMARK BANCORP INC,8.2
LANDSTAR SYSTEM INC,-10.1
LANNETT CO INC,-33.4
LANTRONIX INC,-15.8
LAS VEGAS SANDS CORP,-23.8
LASALLE HOTEL PROPERTIES,-9.9
LATIN AMERICAN DISCOVERY FD INC,-20.4
LATTICE SEMICONDUCTOR CORP,-12.0
LAUDER ESTEE COS INC,0.3
LAWSON PRODUCTS INC,-7.5
LAYNE CHRISTENSEN CO,-35.4
LAZARD GLOB TOT RET & INC FD INC,-17.3
LAZARD LTD,0.9
LAZARD WORLD DIVID & INC FD INC,-26.8
LEADING BRANDS INC,-3.6
LEE ENTERPRISES INC,-6.7
LEGACYTEXAS FINANCIAL GROUP INC,6.8
LEGG MASON INC,-14.0
LEGGETT & PLATT INC,-1.2
LEHMAN BROS FIRST TR INC OP FD,-23.1
LEIDOS HOLDINGS INC,0.9
LEMAITRE VASCULAR INC,-5.7
LENNAR CORP,15.5
LENNAR CORP,8.0
LENNOX INTERNATIONAL INC,-10.1
LEUCADIA NATIONAL CORP,-1.8
LEVEL 3 COMMUNICATIONS INC,-21.3
LEXICON GENETICS INC,-4.3
LEXINGTON REALTY TRUST,17.7
LIBERTY ALL STAR EQUITY FD,-19.9
LIBERTY ALL STAR GROWTH FD INC,-20.8
LIBERTY GLOBAL INC,-13.9
LIBERTY GLOBAL INC,-18.3
LIBERTY GLOBAL INC,-15.4
LIBERTY INTERACTIVE CORP,-5.0
LIBERTY INTERACTIVE CORP,-5.8
LIBERTY PROPERTY TRUST,1.4
LIFE STORAGE INC,16.1
LIFEPOINT HEALTH INC,-4.7
LIFETIME BRANDS INC,0.6
LIFEWAY FOODS INC,3.4
LIGAND PHARMACEUTICALS INC,-12.7
LIGHTPATH TECHNOLOGIES INC,4.9
LILLY ELI & CO,-5.6
LINCOLN EDUCATIONAL SVCS CORP,-12.0
LINCOLN ELECTRIC HOLDINGS INC,-20.1
LINCOLN NATIONAL CORP,-15.7
LINDSAY CORP,-11.2
LINEAR TECHNOLOGY CORP,-6.1
LIONBRIDGE TECHNOLOGIES,-23.5
LIONS GATE ENTERTAINMENT CORP,-9.5
LIQUIDITY SERVICES INC,-1.0
LITHIA MOTORS INC,-11.1
LITTELFUSE INC,-16.2
LIVE NATION ENTERTAINMENT INC,1.4
LIVEPERSON INC,-10.5
LLOYDS BANKING GROUP PLC,-24.8
LOCKHEED MARTIN CORP,-5.8
LOEWS CORP,-9.1
LOGITECH INTERNATIONAL SA,-12.6
LORAL SPACE & COMMUNICATIONS INC,-19.6
LOUISIANA PACIFIC CORP,-4.5
LOWES COMPANIES INC,-3.9
LUBYS INC,8.4
LUMINEX CORP,-1.9
LUNA INNOVATIONS INC,-36.6
LUXOTTICA GROUP S P A,-8.5
LYDALL INC,-17.6
M & T BANK CORP,25.1
M B FINANCIAL INC NEW,18.8
M B I A CAPITAL CLAYMORE MANAGED,-16.7
M B I A INC,-26.6
M B T FINANCIAL CORP,4.2
M D C HOLDINGS INC,-11.7
M D C PARTNERS INC,-16.5
M D U RESOURCES GROUP INC,-11.8
M E I PHARMA INC,-25.9
M E R TELEMANAGEMENT SOLTNS LTD,0.0
M F A FINANCIAL INC,-4.4
M F R I INC,-0.2
M F S CHARTER INCOME TRUST,-10.2
M F S GOVERNMENT MARKETS INC TR,-11.9
M F S INTERMEDIATE INCOME TRUST,-4.1
M F S MULTIMARKET INCOME TRUST,-9.7
M F S MUNICIPAL INCOME TRUST,-17.6
M F S SPECIAL VALUE TRUST,-17.9
M G E ENERGY INC,4.9
M G I C INVESTMENT CORP WIS,-16.4
M G M MIRAGE,-19.0
M G P INGREDIENTS INC,-42.4
M H I HOSPITALITY CORP,-11.0
M I HOMES INC,27.2
M K S INSTRUMENTS INC,-11.7
M O C O N INC,-4.4
M S A SAFETY INC,4.9
M S C INDUSTRIAL DIRECT INC,-9.5
M T S SYSTEMS CORP,1.9
M V C CAPITAL INC,2.1
MACATAWA BANK CORP,-13.6
MACERICH CO,2.8
MACK CALI REALTY CORP,-16.2
MACKINAC FINANCIAL CORP,-1.4
MACQUARIE FIRST TR GLOB INFRASTR,-17.3
MACQUARIE GLOBAL INFR TOT RET FD,-24.7
MACQUARIE INFRASTRUCTURE CO LLC,-33.2
MACROVISION CORPORATION,-0.9
MAD CATZ INTERACTIVE INC,-34.3
MADDEN STEVEN LTD,-1.5
MADISON CLAYMORE COVERED CALL FD,-16.1
MADISON STRATEGIC SECTOR PREM FD,-12.1
MAGAL SECURITY SYSTEMS LTD,7.2
