Year,Index,Return
12/1/1980,3580,-3.2
1/1/1981,3437,-4
2/1/1981,3493,1.6
3/1/1981,3660,4.8
4/1/1981,3622,-1
5/1/1981,3668,1.3
6/1/1981,3631,-1
7/1/1981,3620,-0.3
8/1/1981,3411,-5.8
9/1/1981,3209,-5.9
10/1/1981,3406,6.1
11/1/1981,3556,4.4
12/1/1981,3458,-2.8
1/1/1982,3373,-2.4
2/1/1982,3207,-4.9
3/1/1982,3178,-0.9
4/1/1982,3318,4.4
5/1/1982,3221,-2.9
6/1/1982,3152,-2.1
7/1/1982,3085,-2.1
8/1/1982,3452,11.9
9/1/1982,3514,1.8
10/1/1982,3932,11.9
11/1/1982,4140,5.3
12/1/1982,4191,1.2
1/1/1983,4370,4.3
2/1/1983,4511,3.2
3/1/1983,4666,3.5
4/1/1983,5011,7.4
5/1/1983,5071,1.2
6/1/1983,5261,3.7
7/1/1983,5086,-3.3
8/1/1983,5099,0.3
9/1/1983,5184,1.7
10/1/1983,5045,-2.7
11/1/1983,5189,2.9
12/1/1983,5135,-1.1
1/1/1984,5075,-1.2
2/1/1984,4867,-4.1
3/1/1984,4933,1.4
4/1/1984,4948,0.3
5/1/1984,4691,-5.2
6/1/1984,4811,2.6
7/1/1984,4719,-1.9
8/1/1984,5243,11.1
9/1/1984,5247,0.1
10/1/1984,5255,0.2
11/1/1984,5201,-1
12/1/1984,5330,2.5
1/1/1985,5790,8.6
2/1/1985,5895,1.8
3/1/1985,5882,-0.2
4/1/1985,5867,-0.2
5/1/1985,6205,5.8
6/1/1985,6318,1.8
7/1/1985,6310,-0.1
8/1/1985,6281,-0.5
9/1/1985,6033,-3.9
10/1/1985,6315,4.7
11/1/1985,6763,7.1
12/1/1985,7069,4.5
1/1/1986,7154,1.2
2/1/1986,7702,7.7
3/1/1986,8125,5.5
4/1/1986,8060,-0.8
5/1/1986,8472,5.1
6/1/1986,8604,1.6
7/1/1986,8093,-5.9
8/1/1986,8622,6.5
9/1/1986,7919,-8.2
