Year, Stock Market Index 
9/1/2000,"$65,411 "
10/1/2000,"$63,972 "
11/1/2000,"$57,440 "
12/1/2000,"$58,411 "
1/1/2024,"$60,555 "
2/1/2024,"$54,699 "
3/1/2024,"$50,958 "
4/1/2024,"$55,202 "
5/1/2024,"$55,776 "
6/1/2024,"$54,851 "
7/1/2024,"$53,847 "
8/1/2024,"$50,535 "
9/1/2024,"$46,002 "
10/1/2024,"$47,235 "
11/1/2024,"$50,877 "
12/1/2024,"$51,767 "
1/2/2024,"$51,094 "
2/2/2024,"$49,991 "
3/2/2024,"$52,175 "
4/2/2024,"$49,540 "
5/2/2024,"$48,926 "
6/2/2024,"$45,462 "
7/2/2024,"$41,812 "
8/2/2024,"$42,079 "
9/2/2024,"$37,783 "
10/2/2024,"$40,798 "
11/2/2024,"$43,278 "
12/2/2024,"$40,833 "
1/3/2024,"$39,825 "
2/3/2024,"$39,112 "
3/3/2024,"$39,577 "
4/3/2024,"$42,870 "
5/3/2024,"$45,502 "
6/3/2024,"$46,194 "
7/3/2024,"$47,312 "
8/3/2024,"$48,452 "
9/3/2024,"$47,890 "
10/3/2024,"$50,835 "
11/3/2024,"$51,557 "
12/3/2024,"$53,810 "
1/4/2024,"$55,005 "
2/4/2024,"$55,808 "
3/4/2024,"$55,121 "
4/4/2024,"$54,157 "
5/4/2024,"$54,823 "
6/4/2024,"$55,886 "
7/4/2024,"$53,673 "
8/4/2024,"$53,775 "
9/4/2024,"$54,695 "
10/4/2024,"$55,537 "
11/4/2024,"$58,142 "
12/4/2024,"$60,229 "
1/5/2024,"$58,663 "
2/5/2024,"$59,866 "
3/5/2024,"$58,812 "
4/5/2024,"$57,401 "
5/5/2024,"$59,633 "
6/5/2024,"$60,110 "
7/5/2024,"$62,611 "
8/5/2024,"$62,035 "
9/5/2024,"$62,519 "
10/5/2024,"$61,425 "
11/5/2024,"$63,833 "
12/5/2024,"$63,877 "
1/6/2024,"$66,043 "
2/6/2024,"$66,069 "
3/6/2024,"$67,278 "
4/6/2024,"$68,012 "
5/6/2024,"$65,876 "
6/6/2024,"$65,909 "
7/6/2024,"$65,659 "
8/6/2024,"$67,267 "
9/6/2024,"$68,781 "
10/6/2024,"$71,284 "
11/6/2024,"$72,803 "
12/6/2024,"$73,727 "
1/7/2024,"$75,084 "
2/7/2024,"$73,898 "
3/7/2024,"$74,718 "
4/7/2024,"$77,654 "
5/7/2024,"$80,489 "
6/7/2024,"$79,233 "
7/7/2024,"$76,595 "
8/7/2024,"$77,621 "
9/7/2024,"$80,369 "
10/7/2024,"$82,072 "
11/7/2024,"$78,387 "
12/7/2024,"$77,917 "
1/8/2024,"$73,125 "
2/8/2024,"$70,961 "
3/8/2024,"$70,421 "
4/8/2024,"$73,788 "
5/8/2024,"$75,293 "
6/8/2024,"$69,066 "
7/8/2024,"$68,638 "
8/8/2024,"$69,777 "
9/8/2024,"$63,435 "
10/8/2024,"$52,555 "
11/8/2024,"$48,440 "
12/8/2024,"$49,283 "
1/9/2024,"$45,281 "
2/9/2024,"$40,713 "
3/9/2024,"$44,364 "
4/9/2024,"$48,885 "
5/9/2024,"$51,432 "
6/9/2024,"$51,658 "
7/9/2024,"$55,652 "
8/9/2024,"$57,510 "
9/9/2024,"$59,863 "
10/9/2024,"$58,312 "
11/9/2024,"$61,554 "
12/9/2024,"$63,253 "
1/10/2024,"$61,128 "
2/10/2024,"$63,206 "
3/10/2024,"$67,201 "
4/10/2024,"$68,552 "
5/10/2024,"$63,150 "
6/10/2024,"$59,639 "
7/10/2024,"$63,778 "
8/10/2024,"$60,742 "
9/10/2024,"$66,543 "
10/10/2024,"$69,131 "
11/10/2024,"$69,553 "
12/10/2024,"$74,303 "
1/11/2024,"$75,789 "
2/11/2024,"$78,442 "
3/11/2024,"$78,811 "
4/11/2024,"$81,096 "
5/11/2024,"$80,066 "
6/11/2024,"$78,665 "
7/11/2024,"$76,816 "
8/11/2024,"$72,223 "
9/11/2024,"$66,741 "
10/11/2024,"$74,316 "
11/11/2024,"$74,108 "
12/11/2024,"$74,656 "
1/12/2024,"$78,427 "
2/12/2024,"$81,893 "
3/12/2024,"$84,440 "
4/12/2024,"$83,722 "
5/12/2024,"$78,548 "
6/12/2024,"$81,604 "
7/12/2024,"$82,248 "
8/12/2024,"$84,354 "
9/12/2024,"$86,665 "
10/12/2024,"$85,149 "
11/12/2024,"$85,821 "
12/12/2024,"$86,843 "
1/13/2024,"$91,680 "
2/13/2024,"$92,862 "
3/13/2024,"$96,605 "
4/13/2024,"$98,102 "
5/13/2024,"$100,849 "
6/13/2024,"$99,639 "
7/13/2024,"$105,268 "
8/13/2024,"$102,416 "
9/13/2024,"$106,277 "
10/13/2024,"$110,719 "
11/13/2024,"$114,184 "
12/13/2024,"$117,393 "
1/14/2024,"$113,496 "
2/14/2024,"$118,773 "
3/14/2024,"$119,284 "
4/14/2024,"$119,057 "
5/14/2024,"$121,510 "
6/14/2024,"$124,681 "
7/14/2024,"$122,138 "
8/14/2024,"$127,316 "
9/14/2024,"$124,808 "
10/14/2024,"$127,953 "
11/14/2024,"$131,216 "
12/14/2024,"$131,138 "
1/15/2024,"$127,059 "
2/15/2024,"$134,848 "
3/15/2024,"$133,338 "
4/15/2024,"$134,124 "
5/15/2024,"$135,948 "
6/15/2024,"$133,868 "
7/15/2024,"$135,930 "
8/15/2024,"$127,720 "
9/15/2024,"$123,799 "
10/15/2024,"$133,393 "
11/15/2024,"$134,140 "
12/15/2024,"$131,243 "
1/16/2024,"$123,683 "
2/16/2024,"$123,621 "
3/16/2024,"$132,250 "
4/16/2024,"$133,467 "
5/16/2024,"$135,856 "
6/16/2024,"$135,815 "
7/16/2024,"$141,207 "
8/16/2024,"$141,927 "
9/16/2024,"$142,310 "
10/16/2024,"$139,464 "
11/16/2024,"$146,256 "
12/16/2024,"$148,947 "
1/17/2024,"$151,896 "
2/17/2024,"$157,380 "
3/17/2024,"$157,694 "
4/17/2024,"$159,492 "
5/17/2024,"$161,278 "
6/17/2024,"$162,633 "
7/17/2024,"$165,788 "
8/17/2024,"$166,203 "
9/17/2024,"$170,524 "
10/17/2024,"$174,514 "
11/17/2024,"$180,099 "
12/17/2024,"$182,170 "
1/18/2024,"$192,535 "
2/18/2024,"$185,720 "
3/18/2024,"$181,559 "
4/18/2024,"$182,322 "
5/18/2024,"$187,409 "
6/18/2024,"$188,571 "
7/18/2024,"$194,888 "
8/18/2024,"$201,904 "
9/18/2024,"$202,328 "
10/18/2024,"$187,173 "
11/18/2024,"$190,674 "
12/18/2024,"$172,808 "
1/19/2024,"$187,686 "
2/19/2024,"$194,405 "
3/19/2024,"$196,913 "
4/19/2024,"$205,144 "
5/19/2024,"$191,338 "
6/19/2024,"$204,942 "
7/19/2024,"$207,770 "
8/19/2024,"$202,742 "
9/19/2024,"$206,006 "
10/19/2024,"$210,580 "
11/19/2024,"$218,982 "
12/19/2024,"$225,354 "
1/20/2024,"$225,399 "
2/20/2024,"$207,345 "
3/20/2024,"$179,851 "
4/20/2024,"$204,401 "
5/20/2024,"$215,827 "
6/20/2024,"$221,158 "
7/20/2024,"$233,940 "
8/20/2024,"$251,813 "
9/20/2024,"$242,698 "
10/20/2024,"$237,625 "
11/20/2024,"$267,281 "
12/20/2024,"$279,683 "
1/21/2024,"$279,627 "
2/21/2024,"$287,401 "
3/21/2024,"$296,253 "
4/21/2024,"$310,858 "
5/21/2024,"$311,759 "
6/21/2024,"$320,333 "
7/21/2024,"$324,401 "
8/21/2024,"$333,841 "
9/21/2024,"$319,252 "
10/21/2024,"$340,482 "
11/21/2024,"$335,205 "
12/21/2024,"$345,630 "
1/22/2024,"$324,028 "
2/22/2024,"$316,608 "
3/22/2024,"$326,296 "
4/22/2024,"$295,461 "
5/22/2024,"$294,545 "
6/22/2024,"$269,892 "
7/22/2024,"$295,936 "
8/22/2024,"$285,342 "
9/22/2024,"$259,204 "
10/22/2024,"$280,096 "
11/22/2024,"$293,793 "
